	zero	Kinesis	telicity	durative	affirmation	mode	P_affectedness	P_definiteness	P_animacy	P_concreteness	A_definite	A_animacy	A_number	clause	corpus
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	2	relative	kompas
dibuat	oleh	1	1	1	1	1	1	1	0	0	1	1	3	relative	web
dilakukan	zero	1	1	0	1	1	0	0	0	0	0	0	3	relative	kompas
digunakan	zero	1	0	0	1	0	0	1	0	0	0	0	3	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
diberikan	oleh	1	1	0	1	1	1	0	0	1	1	1	6	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	1	1	relative	kompas
dilakukan	zero	1	1	0	1	1	0	1	0	0	1	0	10	relative	kompas
dilakukan	zero	1	1	0	1	1	0	0	0	0	1	1	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	1	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	9	main	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	0	1	3	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	2	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	2	relative	web
digunakan	zero	1	0	1	1	1	0	0	0	1	1	0	4	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	1	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	0	1	main	web
dilakukan	oleh	1	1	0	1	1	0	0	0	0	0	1	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	0	2	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	1	adverbial	kompas
dikenal	oleh	0	0	1	1	1	0	1	1	1	0	1	2	relative	kompas
digunakan	oleh	1	0	1	1	1	0	1	1	1	0	0	3	main	kompas
digunakan	zero	1	1	1	0	1	0	0	0	1	0	1	3	main	kompas
dibuat	oleh	1	1	0	1	1	1	0	0	0	0	1	2	relative	web
diberikan	zero	1	1	1	1	1	1	0	0	0	1	0	1	relative	kompas
diberikan	oleh	1	1	1	1	1	1	1	0	0	0	1	2	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	1	0	1	main	kompas
digunakan	zero	1	0	1	1	1	0	0	0	0	0	1	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	1	6	relative	web
diberikan	oleh	1	1	1	1	1	1	0	0	0	1	0	4	relative	web
dibuat	oleh	1	1	1	1	1	1	0	0	0	0	0	2	relative	web
dilakukan	oleh	1	1	0	1	1	0	1	0	0	1	1	3	main	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	3	relative	web
diberikan	oleh	1	1	0	1	1	1	0	0	1	0	0	1	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	0	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	1	1	0	7	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	4	main	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	1	2	relative	kompas
disebut	zero	1	1	0	1	1	0	0	0	0	1	1	1	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	0	7	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	2	relative	kompas
disebut	zero	1	1	1	1	1	0	1	0	0	0	1	2	adverbial	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	7	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	0	3	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	1	relative	web
digunakan	zero	1	0	0	1	1	0	0	0	1	1	1	1	sub	web
dikatakan	zero	1	1	1	1	1	0	0	0	0	1	1	5	main	kompas
dilakukan	oleh	1	0	1	1	1	0	1	0	0	0	1	3	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	kompas
dilakukan	oleh	1	1	1	1	0	0	1	0	0	0	1	4	main	web
dilakukan	oleh	1	1	0	1	1	0	1	0	0	1	1	5	relative	web
dilakukan	oleh	1	1	1	1	1	0	1	0	0	0	1	3	main	kompas
dibuat	oleh	1	1	1	1	1	1	1	0	1	1	1	2	main	kompas
diberikan	zero	1	1	0	1	1	1	0	0	1	1	1	3	relative	kompas
dilakukan	oleh	1	1	0	1	1	0	1	0	0	1	1	23	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	2	main	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	9	main	kompas
dilakukan	zero	1	1	0	1	1	0	0	0	0	1	1	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	3	relative	kompas
dikenal	oleh	0	0	1	1	1	0	0	1	1	0	1	2	main	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	1	2	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	1	2	relative	web
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	0	2	relative	web
dikatakan	zero	1	1	1	1	1	0	0	0	1	1	1	1	relative	web
digunakan	zero	1	0	1	1	1	0	0	0	1	0	1	5	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	1	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	kompas
ditemukan	oleh	1	1	0	1	1	0	1	0	0	1	1	2	main	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	1	adverbial	kompas
digunakan	zero	1	0	1	1	1	0	0	0	0	1	0	2	relative	kompas
diberikan	zero	1	1	1	1	1	1	0	0	1	1	1	6	relative	kompas
digunakan	oleh	1	0	1	1	1	0	1	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	4	relative	kompas
dikatakan	zero	1	1	1	1	1	0	0	0	0	1	1	2	main	kompas
dilakukan	oleh	1	1	0	1	1	0	0	0	0	1	1	8	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dibuat	zero	1	1	1	1	1	1	0	0	0	1	0	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	3	main	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	5	relative	kompas
dikenal	oleh	0	0	1	1	1	0	1	0	1	0	0	2	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	7	main	kompas
diberikan	oleh	1	1	0	1	1	1	0	0	0	1	0	1	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	6	relative	kompas
disebut	zero	1	1	1	1	1	0	0	0	0	0	0	1	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	3	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	3	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	0	2	main	kompas
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	2	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
diberikan	oleh	1	1	0	1	1	0	0	0	0	0	0	1	relative	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	1	0	1	relative	web
dibuat	zero	1	1	1	1	1	1	1	0	0	0	1	1	relative	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	1	1	1	relative	web
diberikan	zero	1	1	1	1	1	0	0	0	0	0	0	2	relative	web
diberikan	zero	1	1	1	1	1	0	0	0	0	0	0	1	relative	kompas
dilakukan	oleh	1	0	1	1	0	0	0	0	0	1	1	3	relative	web
dikatakan	oleh	1	1	1	1	1	0	1	0	0	1	1	2	adverbial	web
dilakukan	zero	1	0	1	1	1	0	1	0	0	0	0	2	main	web
diberikan	zero	1	1	0	1	1	0	0	0	0	1	0	4	relative	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	0	1	relative	web
digunakan	oleh	1	1	1	1	1	0	0	0	1	0	1	4	relative	web
dilakukan	zero	1	0	1	1	0	0	1	0	0	0	1	4	main	web
diberikan	zero	1	1	1	1	1	0	1	0	0	1	0	2	sub	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	3	main	kompas
diberikan	zero	1	1	1	1	1	0	0	0	0	0	1	1	relative	kompas
dibuat	oleh	1	1	1	1	1	1	0	0	0	1	0	1	relative	web
